year,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp
1990,22181.807,0.124,27.471999999999998,,,,0.0,,100.0,803157.428,0.01,0.0,,0.235,501.311,8753.146,228.942,3860.972,9201.046,0.094,1.643,0.043,0.725,1.7269999999999999,34967.34,6.564,7415.58,1.392,2460.54,0.462,94383.40800000001,17717.161,2.1830000000000003,5327230976.0,43240000000000.0
1991,22429.377,1.1159999999999999,247.57,,,,0.0,,100.0,825586.805,0.01,0.0,,0.23600000000000002,514.3480000000001,8675.55,243.696,3938.426,9658.971,0.095,1.6019999999999999,0.045,0.727,1.784,35125.44,6.4879999999999995,7387.74,1.364,2447.93,0.452,94998.44099999999,17545.876,2.176,5414288896.0,43664000000000.0
1992,22195.105,-1.044,-234.27200000000002,,,,0.0,,100.0,847781.91,0.01,0.0,,0.23199999999999998,535.994,8454.431,213.813,3965.433,9141.709,0.09699999999999999,1.537,0.039,0.721,1.662,34985.53,6.362,7322.48,1.3319999999999999,2440.49,0.444,95643.59300000001,17393.16,2.136,5498919936.0,44776000000000.0
1993,22153.142999999996,-0.18899999999999997,-41.961999999999996,,,,0.0,,100.0,869935.053,0.01,0.0,,0.23,556.159,8564.447,209.93400000000003,4074.539,9173.792,0.1,1.534,0.038,0.73,1.6440000000000001,35079.63,6.285,7300.62,1.308,2428.77,0.435,96369.906,17265.647,2.121,5581598208.0,45446600000000.0
1994,22533.833,1.7180000000000002,380.69,,,,0.0,,100.0,892468.8859999999,0.01,0.0,,0.231,592.048,8612.935,212.475,4114.2029999999995,9209.503,0.105,1.521,0.038,0.726,1.626,35287.61,6.231,7274.33,1.285,2514.99,0.444,97641.655,17241.58,2.1,5663150080.0,46504900000000.0
1995,23007.425,2.102,473.592,,,,0.0,,100.0,915476.312,0.01,0.0,,0.231,626.341,8864.243,210.75,4221.0109999999995,9308.652,0.109,1.5430000000000001,0.037000000000000005,0.735,1.621,36012.63,6.269,7283.49,1.268,2570.66,0.44799999999999995,99620.58,17342.773,2.062,5744212992.0,48322200000000.0
1996,23522.979,2.241,515.554,,,,0.0,,100.0,938999.291,0.01,0.0,,0.22899999999999998,639.6569999999999,9078.904,214.524,4407.267,9621.271999999999,0.11,1.5590000000000002,0.037000000000000005,0.757,1.652,36025.05,6.185,7152.83,1.228,2577.46,0.442,102592.21800000001,17612.725,2.061,5824891904.0,49767500000000.0
1997,23915.328999999998,1.6680000000000001,392.35,,,,0.0,,100.0,962914.62,0.01,0.0,,0.231,658.773,9036.388,219.49099999999999,4428.613,9758.588,0.11199999999999999,1.53,0.037000000000000005,0.75,1.653,37342.5,6.324,7369.05,1.248,2587.71,0.43799999999999994,103650.06,17552.795,2.0180000000000002,5905046016.0,51352400000000.0
1998,23984.984,0.29100000000000004,69.655,,,,0.0,,100.0,986899.604,0.01,0.0,,0.23,655.742,8801.605,207.02599999999998,4498.527,9853.851,0.11,1.4709999999999999,0.035,0.752,1.646,36976.63,6.178,7274.29,1.215,2599.16,0.434,104270.79800000001,17422.621,2.0,5984794112.0,52130500000000.0
1999,23930.561,-0.22699999999999998,-54.422,,,,0.0,,100.0,1010830.166,0.01,0.0,,0.225,684.888,8737.591,199.468,4630.745,10072.168,0.113,1.4409999999999998,0.033,0.764,1.661,36810.09,6.07,7207.23,1.188,2572.36,0.424,106165.384,17506.793999999998,1.966,6064239104.0,54011500000000.0
2000,24558.691000000003,2.625,628.13,,,,0.0,,100.0,1035388.8570000001,0.01,0.0,,0.226,716.291,9059.851999999999,245.657,4746.479,10255.631,0.11699999999999999,1.475,0.04,0.773,1.669,37420.92,6.091,7173.99,1.168,2554.89,0.41600000000000004,108822.05900000001,17713.381999999998,1.899,6143494144.0,57301700000000.0
2001,25138.0,2.359,579.309,,,,0.0,,100.0,1060526.856,0.01,0.0,,0.228,748.451,9107.524,247.207,4792.724,10338.207,0.12,1.464,0.04,0.77,1.661,38379.96,6.167999999999999,7262.65,1.167,2592.42,0.41700000000000004,110048.804,17685.265,1.8769999999999998,6222626816.0,58631800000000.0
2002,25494.191000000003,1.4169999999999998,356.191,,,,0.0,,100.0,1086021.047,0.01,0.0,,0.22699999999999998,790.607,9498.975,258.19599999999997,4938.263,10300.743,0.125,1.507,0.040999999999999995,0.784,1.635,39824.7,6.32,7561.8,1.2,2662.79,0.423,112538.209,17858.182,1.86,6301772800.0,60506400000000.0
2003,26866.737999999998,5.3839999999999995,1372.5479999999998,,,,0.0,,100.0,1112887.785,0.01,0.0,,0.23,850.693,10273.491,258.191,5106.602,10544.016000000001,0.133,1.61,0.04,0.8,1.652,40678.67,6.375,7586.58,1.189,2676.14,0.419,116667.07,18282.979,1.869,6381185024.0,62425200000000.0
2004,28187.599,4.916,1320.861,,,,0.0,,100.0,1141075.384,0.01,0.0,,0.23,907.44,10946.746000000001,281.746,5270.78,10900.077,0.14,1.694,0.044000000000000004,0.816,1.6869999999999998,42452.22,6.57,7770.13,1.203,2742.89,0.425,122395.789,18943.318,1.855,6461158912.0,65995800000000.0
2005,29254.906000000003,3.786,1067.307,,,,0.0,,100.0,1170330.291,0.01,0.0,,0.231,959.0239999999999,11614.688999999998,301.615,5396.432,10990.382,0.147,1.775,0.046,0.825,1.68,43354.52,6.627000000000001,7749.03,1.185,2740.7,0.419,126626.72099999999,19356.24,1.79,6541906944.0,70729900000000.0
2006,30286.836,3.5269999999999997,1031.93,,,,0.0,,100.0,1200617.127,0.01,0.0,,0.23199999999999998,1045.734,12273.777,303.124,5535.244000000001,11071.365,0.158,1.8530000000000002,0.046,0.836,1.672,43723.5,6.601,7927.19,1.197,2774.44,0.419,130323.332,19675.846999999998,1.736,6623518208.0,75073900000000.0
2007,30880.145,1.959,593.309,,,,0.0,,100.0,1231497.272,0.01,0.0,,0.23,1121.553,12862.913,318.079,5721.283,11109.942,0.16699999999999998,1.9180000000000001,0.047,0.853,1.6569999999999998,44584.43,6.648,7945.85,1.185,2822.2,0.42100000000000004,134465.27,20051.645,1.6840000000000002,6705947136.0,79861600000000.0
2008,31875.756,3.2239999999999998,995.61,,,,0.0,,100.0,1263373.028,0.01,0.0,,0.23399999999999999,1137.576,13359.475,330.478,5883.919,11140.761999999999,0.168,1.9680000000000002,0.049,0.867,1.641,44952.27,6.621,8017.25,1.181,2802.99,0.413,136130.341,20051.342,1.641,6789088768.0,82963800000000.0
2009,31523.142999999996,-1.1059999999999999,-352.61300000000006,,,,0.0,,100.0,1294896.1709999999,0.01,0.0,,0.235,1172.6589999999999,13199.913999999999,322.819,5754.904,10962.235,0.171,1.921,0.047,0.8370000000000001,1.595,44936.19,6.537999999999999,8100.53,1.179,2803.03,0.408,134213.756,19528.343999999997,1.629,6872766976.0,82390500000000.0
2010,33066.651,4.896,1543.5079999999998,,,,0.0,,100.0,1327962.822,0.01,0.0,,0.235,1249.289,14004.188999999998,329.798,6197.24,11235.77,0.18,2.013,0.047,0.8909999999999999,1.615,46552.37,6.692,8170.01,1.1740000000000002,2860.55,0.41100000000000003,140722.294,20227.951,1.591,6956824064.0,88454100000000.0
2011,34357.366,3.903,1290.715,,,,0.0,,100.0,1362320.188,0.01,0.0,,0.23800000000000002,1340.943,14882.9,322.48900000000003,6343.626,11244.63,0.19,2.114,0.046,0.9009999999999999,1.597,47802.54,6.789,8280.11,1.176,2943.3,0.418,144255.091,20487.305,1.535,7041193984.0,93952100000000.0
2012,34919.289,1.636,561.923,,,,0.0,,100.0,1397239.477,0.01,0.0,,0.239,1373.4489999999998,15043.24,327.848,6466.75,11446.89,0.193,2.1109999999999998,0.046,0.9079999999999999,1.6059999999999999,48348.77,6.785,8374.14,1.175,2970.41,0.41700000000000004,146252.983,20524.349,1.5130000000000001,7125828096.0,96649200000000.0
2013,35207.886,0.826,288.597,,,,0.0,,100.0,1432447.3630000001,0.01,0.0,,0.23600000000000002,1424.293,14931.525,332.07300000000004,6546.193,11588.877,0.198,2.0709999999999997,0.046,0.9079999999999999,1.607,48961.6,6.79,8339.46,1.157,2941.0,0.408,149089.93,20676.546000000002,1.5019999999999998,7210582016.0,99279700000000.0
2014,35505.827000000005,0.846,297.941,,,,0.0,,100.0,1467953.19,0.01,0.0,,0.23600000000000002,1476.263,14936.736,336.635,6598.738,11738.85,0.20199999999999999,2.0469999999999997,0.046,0.905,1.609,49440.79,6.777,8477.25,1.162,2999.32,0.41100000000000003,150489.50199999998,20628.307,1.475,7295290880.0,101999000000000.0
2015,35462.747,-0.121,-43.08,,,,0.0,,100.0,1503415.937,0.01,0.0,,0.23399999999999999,1434.626,14641.198,338.809,6747.393,11942.551000000001,0.19399999999999998,1.984,0.046,0.914,1.618,49854.98,6.756,8660.01,1.173,3052.82,0.414,151720.063,20558.84,1.4469999999999998,7379796992.0,104855000000000.0
2016,35675.099,0.599,212.35299999999998,,,,0.0,,100.0,1539091.0359999998,0.01,0.0,,0.23199999999999998,1464.898,14440.881000000001,334.95300000000003,6884.984,12123.426000000001,0.196,1.935,0.045,0.922,1.624,49358.03,6.6129999999999995,8550.06,1.146,3054.0,0.409,153848.43300000002,20612.002,1.444,7464022016.0,106561000000000.0
2017,36153.262,1.34,478.162,,,,0.0,,100.0,1575244.2980000002,0.01,,,,1476.099,14483.732,343.245,7101.156,12274.686000000002,0.196,1.919,0.045,0.941,1.626,,,,,,,,,,7547858944.0,
2018,36572.754,1.16,419.49300000000005,,,,0.0,,100.0,1611817.052,0.01,,,,1506.7620000000002,14680.381000000001,343.30699999999996,7485.188,12425.536,0.19699999999999998,1.9240000000000002,0.045,0.981,1.6280000000000001,,,,,,,,,,7631091200.0,
